date	Консервативная стратегия	Средневзвешенная стратегия	Высокодоходная стратегия	ММВБ	MICEXCBITR	S&P500	NASDAQ Composite	S&P500 Bond Index	NAREIT	Банковский депозит
1/1/2014	0,0153	0,0178	-0,0204	-0,032996915	0,003402895	-0,035582895	-0,017408939	0,017201302	0,03376987	0,002291667
1/2/2014	0,0189	0,0414	0,0454	-0,039472634	0,008527736	0,005999913	0,031492198	0,028468291	0,082226525	0,004705519
1/3/2014	0,0257	0,0665	0,0161	-0,089616244	0,000450986	0,012973663	0,005363227	0,029069926	0,085740434	0,006840518
1/4/2014	0,0362	0,0912	-0,0194	-0,131688474	0,001393957	0,019254907	-0,014851829	0,040254875	0,117032876	0,009575768
1/5/2014	0,0408	0,117	-0,0021	-0,047903037	0,00676479	0,040690125	0,015809548	0,053764323	0,14784935	0,01202399
1/6/2014	0,0513	0,1448	0,0499	-0,018416574	0,016850478	0,060523924	0,055449541	0,0553778	0,161374685	0,014587784
1/7/2014	0,06118222	0,16437608	0,04769521	-0,082754907	0,019802386	0,044531368	0,046253044	0,053627588	0,159163277	0,017107343
1/8/2014	0,072749106	0,190341667	0,10228013	-0,068726398	0,020540363	0,083863533	0,096653011	0,068613777	0,198357669	0,019717919
1/9/2014	0,08572937	0,218076627	0,099193746	-0,061838466	0,020745357	0,067048627	0,075851352	0,054885553	0,130840315	0,022335195
1/10/2014	0,099192415	0,246457813	0,131510042	-0,010378437	0,010864663	0,091805709	0,108737032	0,065441518	0,229494063	0,025385162
1/11/2014	0,109195066	0,277369967	0,168963025	0,019679804	0,006928785	0,118591616	0,147258888	0,072797878	0,257746825	0,028657849
1/12/2014	0,120619775	0,304577947	0,161014076	-0,071452316	-0,014267558	0,113906382	0,133951381	0,074684825	0,271473632	0,033252521
1/1/2015	0,131041539	0,324929363	0,131292116	0,095480294	-0,026034193	0,118591616	0,109814466	0,104465775	0,342609	0,037996872
1/2/2015	0,148411145	0,352586415	0,190619935	0,16946572	-0,001352958	0,091805709	0,188416866	0,094948998	0,307962174	0,042624608
1/3/2015	0,161410335	0,384287659	0,182492836	0,081179193	0,030831044	0,067048627	0,173416591	0,097984522	0,323006696	0,04730773
1/4/2015	0,169702921	0,41090105	0,211169884	0,122506782	0,064450002	0,083863533	0,183123074	0,091011021	0,260689789	0,051261317
1/5/2015	0,179676437	0,432426586	0,236828295	0,069883251	0,085072363	0,044531368	0,213913743	0,08515875	0,259252321	0,05542256
1/6/2015	0,191667068	0,460083638	0,194451281	0,100041221	0,097535976	0,060523924	0,194005157	0,067875407	0,204870616	0,059134129
1/7/2015	0,20680124	0,485489094	0,223118112	0,109648423	0,108892624	0,040690125	0,227862922	0,073755025	0,26336369	0,062417445
1/8/2015	0,215007489	0,4982643	0,199511933	0,152312377	0,105899717	0,019254907	0,14363871	0,067519895	0,191649118	0,065347946
1/9/2015	0,22655006	0,517741736	0,224221878	0,092342163	0,121110246	0,012973663	0,106203865	0,074466049	0,213990524	0,068144485
1/10/2015	0,23636246	0,546578829	0,282984529	0,137924844	0,141650609	0,005999913	0,210018221	0,080345667	0,288563298	0,070859352
1/11/2015	0,248973357	0,578438352	0,322757049	0,177497208	0,15321225	-0,035582895	0,223167704	0,077884431	0,285237603	0,073322328
1/12/2015	0,260838604	0,59848452	0,297624665	0,171054731	0,170595712	0	0,198923045	0,070582766	0,30058618	0,075943024
1/1/2016	0,267142797	0,616067849	0,292434166	0,186718792	0,173957607	0,049708931	0,104717006	0,074684825	0,255340901	0,078202504
1/2/2016	0,27727994	0,637076731	0,306650942	0,22345221	0,191013079	0,04537536	0,091308939	0,083982826	0,25173245	0,080296014
1/3/2016	0,288775459	0,665234451	0,356303678	0,244049519	0,20806855	0,114360839	0,165987085	0,112560505	0,376766599	0,082348576
1/4/2016	0,296508112	0,686882499	0,380717144	0,298501409	0,224714034	0,117368911	0,143363366	0,128312413	0,353844903	0,084468176
1/5/2016	0,302990652	0,705438206	0,40695077	0,26257247	0,236931655	0,134497609	0,184712888	0,127656083	0,385507036	0,086510591
1/6/2016	0,314717568	0,725903465	0,418206376	0,257306792	0,251855192	0,135525547	0,159479384	0,150326797	0,478117285	0,08840293
1/7/2016	0,306829263	0,755243824	0,443734091	0,292896654	0,260341929	0,175961393	0,23596762	0,167473405	0,535348934	0,090162515
1/8/2016	0,310749751	0,778061993	0,463946368	0,310827881	0,273338527	0,174527689	0,248200087	0,169989335	0,484964062	0,091806843
1/9/2016	0,325167998	0,797620675	0,494689242	0,315089623	0,287237096	0,173077755	0,27185096	0,166598299	0,464030785	0,093226192
1/10/2016	0,345045518	0,819192124	0,506646756	0,322828573	0,276208438	0,150289987	0,242434618	0,157081522	0,392439227	0,094556284
1/11/2016	0,33832029	0,853756774	0,538286338	0,399466784	0,282973228	0,189600511	0,2746475	0,128066289	0,364016506	0,095833266
1/12/2016	0,347688532	0,877855612	0,565975492	0,484442317	0,296871797	0,211252137	0,288879205	0,134629584	0,421317051	0,097276113
1/1/2017	0,347688532	0,907901302	0,572239394	0,47425004	0,310606371	0,232914584	0,344347901	0,138731643	0,424784668	0,098775724
1/2/2017	0,369251549	0,93461192	0,594250745	0,353498484	0,32192202	0,278776862	0,394783783	0,149998633	0,484068633	0,10015835
1/3/2017	0,369251549	0,952023427	0,629324262	0,326990586	0,337337543	0,278279123	0,415446572	0,148357809	0,463480487	0,101506044
1/4/2017	0,403482838	0,965687591	0,66679872	0,340826286	0,354966996	0,289900236	0,447977896	0,159187245	0,470904512	0,102873748
1/5/2017	0,400675872	0,99124153	0,686800304	0,263483325	0,365872658	0,304832392	0,484110243	0,171766894	0,468744614	0,104068528
1/6/2017	0,395073168	1,01712767	0,713789109	0,249601085	0,375220368	0,311113636	0,470199373	0,174939153	0,498534169	0,105209398
